Name,Group,Release,Daily,Weekly,Description
FlashTest.flash_tool_0146(),,,Yes,Yes,"Linux下同时设置管理员密码，用户密码只保留SMBIOS,降级更新BIOS，SetUp恢复默认"
FlashTest.flash_tool_0148(),,Yes,Yes,Yes,"Linux下设置管理员密码,备份BIOS,锁住BIOS测试"
FlashTest.flash_tool_0149(),,Yes,Yes,Yes,"Linux下设置管理员密码,Flash 工具清除密码测试"
FlashTest.flash_tool_0150(),,Yes,Yes,Yes,"Linux下设置用户密码,Flash 工具清除密码测试"
FlashTest.flash_tool_0151(),,Yes,Yes,Yes,"Linux下同时设置管理员密码，用户密码,Flash 工具清除密码测试"
ByoCfgTest.byocfg_tool_2001(),,Yes,Yes,,Shell下检查ByoCfg版本，帮助信息
ByoCfgTest.byocfg_tool_2002(),,Yes,Yes,,"Shell下检查ByoCfg变量值与SetUp显示一致,ByoCfg修改变量值测试"
ByoCfgTest.byocfg_tool_2003(),,Yes,Yes,,Shell下dump变量值与系统下对比
ByoCfgTest.byocfg_tool_2004(),,Yes,Yes,,Shell下ByoCfg逐个修改变量值并在系统下验证，ByoCfg恢复默认值测试
ByoCfgTest.byocfg_tool_2005(),,Yes,Yes,,Shell下ByoCfg锁住测试
ByoCfgTest.byocfg_tool_2006(),,Yes,Yes,,Shell下ByoCfg负面测试
ByoCfgTest.byocfg_tool_2007(),,Yes,Yes,,Shell下ByoCfg修改启动顺序测试
ByoCfgTest.byocfg_tool_2008(),,Yes,Yes,,Shell下ByoCfg检查重复选项名测试
ByoCfgTest.byocfg_tool_2101(),,Yes,Yes,,Linux下检查ByoCfg版本，帮助信息
ByoCfgTest.byocfg_tool_2102(),,Yes,Yes,,"Linux下检查ByoCfg变量值与SetUp显示一致,ByoCfg修改变量值测试"
ByoCfgTest.byocfg_tool_2103(),,Yes,Yes,,Linux下ByoCfg逐个修改变量值并在系统下验证，ByoCfg恢复默认值测试
ByoCfgTest.byocfg_tool_2104(),,Yes,Yes,,Linux下ByoCfg锁住测试
ByoCfgTest.byocfg_tool_2105(),,Yes,Yes,,Linux下ByoCfg负面测试
ByoCfgTest.byocfg_tool_2106(),,Yes,Yes,,Linux下ByoCfg修改启动顺序测试
ByoCfgTest.byocfg_tool_2107(),,Yes,Yes,,linux下ByoCfg检查重复选项名测试
ByoDmiTest.byodmi_tool_1001(),,Yes,Yes,,Shell下检查ByoDmi版本，帮助信息
ByoDmiTest.byodmi_tool_1002(),,Yes,Yes,,"Shell下检查ByoDmi,SMBIOS 信息"
ByoDmiTest.byodmi_tool_1003(),,Yes,Yes,,ShellByoDmi修改SMBIOS，验证
ByoDmiTest.byodmi_tool_1004(),,Yes,Yes,,Shell下ByoDmi锁住测试
ByoDmiTest.byodmi_tool_1005(),,Yes,Yes,,Shell下ByoDmi负面测试
ByoDmiTest.byodmi_tool_1101(),,Yes,Yes,,Linux下检查ByoDmi版本，帮助信息
ByoDmiTest.byodmi_tool_1102(),,Yes,Yes,,"Linux下检查ByoDmi,SMBIOS 信息"
ByoDmiTest.byodmi_tool_1103(),,Yes,Yes,,LinuxByoDmi修改SMBIOS，验证
ByoDmiTest.byodmi_tool_1104(),,Yes,Yes,,Linux下ByoDmi锁住测试
ByoDmiTest.byodmi_tool_1105(),,Yes,Yes,,Linux下ByoDmi负面测试
