Name,Group,Release,Daily,Weekly,Description
FlashTest.flash_tool_0240(),,Yes,,,WINDOWS下同时设置管理员密码，用户密码，保留降级BIOS
FlashTest.flash_tool_0241(),,,,Yes,WINDOWS下同时设置管理员密码，用户密码，完全升级BIOS
FlashTest.flash_tool_0242(),,,,,WINDOWS下同时设置管理员密码，用户密码，完全降级BIOS
FlashTest.flash_tool_0243(),,Yes,,Yes
FlashTest.flash_tool_0244(),,Yes,,
FlashTest.flash_tool_0245(),,,,Yes
FlashTest.flash_tool_0246(),,,,
FlashTest.flash_tool_0247(),,,,Yes,"WINDOWS下设置管理员密码,更新OA3"
FlashTest.flash_tool_0248(),,Yes,,Yes,"WINDOWS下设置管理员密码,备份BIOS,锁住BIOS测试"
FlashTest.flash_tool_0249(),,Yes,,Yes,"WINDOWS下设置管理员密码,Flash 工具清除密码测试"
FlashTest.flash_tool_0250(),,Yes,,Yes,"WINDOWS下设置用户密码,Flash 工具清除密码测试"
FlashTest.flash_tool_0251(),,Yes,,Yes,"WINDOWS下同时设置管理员密码，用户密码,Flash 工具清除密码测试"
FlashTest.flash_tool_0252(),,Yes,,Yes,"WINDOWS下负面测试(错误BIOS,错误OA3,错误命令参数)"
SecureBootTest.secure_boot_3001(),,,Yes,Yes,默认设定模式测试
SecureBootTest.secure_boot_3002(),,,Yes,Yes,设定模式恢复出厂模式
SecureBootTest.secure_boot_3003(),,,Yes,Yes,设定模式进入部署模式
SecureBootTest.secure_boot_3004(),,,Yes,Yes,设定模式进入审计模式
SecureBootTest.secure_boot_3005(),,,Yes,Yes,设定模式打开安全启动
SecureBootTest.secure_boot_3006(),,,Yes,Yes,设定模式SetUp下恢复默认值
SecureBootTest.secure_boot_3007(),,,Yes,Yes,设定模式打开CSM后打开安全启动
SecureBootTest.secure_boot_3008(),,,Yes,Yes,设定模式打开CSM后进入部署模式
SecureBootTest.secure_boot_3101(),,,Yes,Yes,用户模式下关闭安全启动
SecureBootTest.secure_boot_3102(),,,Yes,Yes,用户模式恢复出厂模式
SecureBootTest.secure_boot_3103(),,,Yes,Yes,用户模式进入审计模式
SecureBootTest.secure_boot_3104(),,,Yes,Yes,用户模式进入部署模式
SecureBootTest.secure_boot_3105(),,,Yes,Yes,用户模式重置为设定模式
SecureBootTest.secure_boot_3106(),,,Yes,Yes,用户模式保留刷新BIOS
SecureBootTest.secure_boot_3107(),,,Yes,Yes,用户模式完全刷新BIOS
SecureBootTest.secure_boot_3108(),,,Yes,Yes,用户模式恢复默认值
SecureBootTest.secure_boot_3109(),,,Yes,Yes,用户模式打开CSM
SecureBootTest.secure_boot_3201(),,,Yes,Yes,部署模式进入用户模式
SecureBootTest.secure_boot_3202(),,,Yes,Yes,部署模式关闭安全启动
SecureBootTest.secure_boot_3203(),,,Yes,Yes,部署模式重置为设定模式
SecureBootTest.secure_boot_3204(),,,Yes,Yes,部署模式保留刷新BIOS
SecureBootTest.secure_boot_3205(),,,Yes,Yes,部署模式完全刷新BIOS
SecureBootTest.secure_boot_3206(),,,Yes,Yes,部署模式恢复默认值
SecureBootTest.secure_boot_3207(),,,Yes,Yes,部署模式打开CSM
SecureBootTest.secure_boot_3301(),,,Yes,Yes,审计模式进入部署模式
SecureBootTest.secure_boot_3302(),,,Yes,Yes,审计模式恢复出厂模式
SecureBootTest.secure_boot_3303(),,,Yes,Yes,审计模式打开安全启动
SecureBootTest.secure_boot_3304(),,,Yes,Yes,审计模式保留刷新BIOS
SecureBootTest.secure_boot_3305(),,,Yes,Yes,审计模式完全刷新BIOS
SecureBootTest.secure_boot_3306(),,,Yes,Yes,审计模式恢复默认值
SecureBootTest.secure_boot_3307(),,,Yes,Yes,打开CSM后在审计模式下打开安全启动
SecureBootTest.secure_boot_3401(),,,Yes,Yes,PK安全设置项管理
SecureBootTest.secure_boot_3402(),,,Yes,Yes,KEK安全设置项管理
SecureBootTest.secure_boot_3403(),,,Yes,Yes,DB安全设置项管理
SecureBootTest.secure_boot_3404(),,,Yes,Yes,DBX安全设置项管理
